name;type;process;class;coherence
N-total;value;other;fr.inrae.act.bagap.chloe.window.metric.basic.TotalValueMetric;0
N-valid;value;other;fr.inrae.act.bagap.chloe.window.metric.basic.ValidValueMetric;0
pN-valid;value;other;fr.inrae.act.bagap.chloe.window.metric.basic.RateValidValueMetric;0
NC-valid;couple;other;fr.inrae.act.bagap.chloe.window.metric.basic.ValidCoupleMetric;0
pNC-valid;couple;other;fr.inrae.act.bagap.chloe.window.metric.basic.RateValidCoupleMetric;0
N-values;value;other;fr.inrae.act.bagap.chloe.window.metric.value.CountValuesMetric;1
pN-values;value;other;fr.inrae.act.bagap.chloe.window.metric.value.RateValuesMetric;1
NV;value;value;fr.inrae.act.bagap.chloe.window.metric.value.CountValueMetric;1
area;value;value;fr.inrae.act.bagap.chloe.window.metric.value.AreaMetric;1
pNV;value;value;fr.inrae.act.bagap.chloe.window.metric.value.RateValueMetric;1
pNVm;value;value;fr.inrae.act.bagap.chloe.window.metric.value.RateValueMultipleMetric;1
SHDI;value;other;fr.inrae.act.bagap.chloe.window.metric.value.ShannonDiversityIndex;1
SHDI-frag;value;other;fr.inrae.act.bagap.chloe.window.metric.value.ShannonDiversityFragmentationIndex;1
SHEI;value;other;fr.inrae.act.bagap.chloe.window.metric.value.ShannonEvennessIndex;1
RaoQ;value;other;fr.inrae.act.bagap.chloe.window.metric.value.RaoQIndex;1
NC;couple;couple;fr.inrae.act.bagap.chloe.window.metric.couple.CountCoupleMetric;1
pNC;couple;couple;fr.inrae.act.bagap.chloe.window.metric.couple.RateCoupleMetric;1
NMC;couple;couple;fr.inrae.act.bagap.chloe.window.metric.couple.CountMultipleCoupleMetric;1
NC-hete;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.CountHeterogeneousCouple;1
pNC-hete;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.RateHeterogeneousCouple;1
HET;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.HeterogeneityIndex;1
HET-frag;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.HeterogeneityFragmentationIndex;1
HET-config;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.HeterogeneityConfigurationIndex;1
average;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.AverageMetric;3
sum;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.SumMetric;3
standard_deviation;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.StandardDeviationMetric;3
minimum;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.MinimumMetric;3
maximum;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.MaximumMetric;3
MD;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.grainbocager.GrainBocagerMeanDistanceMetric;3
GBDistance;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.grainbocager.GrainBocagerDistanceMetric;5
GBBocage;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.grainbocager.GrainBocagerBocageMetric;5
prop;quantitative;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.ProportionMetric;3
MPS;patch;other;fr.inrae.act.bagap.chloe.window.metric.patch.MeanPatchSizeIndex;4
MPS-class;patch;value;fr.inrae.act.bagap.chloe.window.metric.patch.MeanPatchSizeClassIndex;4
MPSm;patch;value;fr.inrae.act.bagap.chloe.window.metric.patch.MeanPatchSizeMultipleIndex;4
LPI;patch;other;fr.inrae.act.bagap.chloe.window.metric.patch.LargestPatchIndex;4
LPI-class;patch;value;fr.inrae.act.bagap.chloe.window.metric.patch.LargestPatchClassIndex;4
NP;patch;other;fr.inrae.act.bagap.chloe.window.metric.patch.PatchNumberIndex;4
NP-class;patch;value;fr.inrae.act.bagap.chloe.window.metric.patch.PatchNumberClassIndex;4
